event_id,user_id,event_name,event_time,platform,device_type
39f959de4ff6279e61575b7e3ffca48b,00003e3b9e5336685200ae85d21b4f5e,PageView,2025-03-03 20:43:47.597338 UTC,android,Samsung
66485a8e79a20374d5355ae8202679c4,00003e3b9e5336685200ae85d21b4f5e,Download,2025-03-05 03:43:47.597338 UTC,android,Samsung
33c9fb72a387c678f2f419dcc9d16c55,00003e3b9e5336685200ae85d21b4f5e,Install,2025-03-05 18:43:47.597338 UTC,android,Samsung
474e83e09291f5b45e46ecbd3a62d850,00003e3b9e5336685200ae85d21b4f5e,SignUp,2025-03-05 22:43:47.597338 UTC,android,Samsung
17a7bb740f590af69806cf4d59f998ab,0004d0b59e19461ff126e3a08a814c33,PageView,2025-02-27 20:43:47.597338 UTC,android,Samsung
cbe6b1a1f98168f5ad4359882bf78d5d,0007cda84fafdcf42f96c4f4adb7f8ce,PageView,2025-03-06 20:43:47.597338 UTC,ios,iPhone
90db8e74d42eba8f3f3f93f0567b50d5,0007cda84fafdcf42f96c4f4adb7f8ce,Download,2025-03-07 08:43:47.597338 UTC,ios,iPhone
e6aa6780392355af9a465ce002ba16b6,0007cda84fafdcf42f96c4f4adb7f8ce,Install,2025-03-07 09:43:47.597338 UTC,ios,iPhone
6bfe678345b6ded21c79cdda8062cc28,000871c1fc726f0b52dc86a4eeb027de,PageView,2025-02-06 20:43:47.597338 UTC,ios,iPhone
515be99c858375b7744dcf367d574425,000c076c390a4c357313fca29e390ece,PageView,2025-02-10 20:43:47.597338 UTC,android,Samsung
c537841d84d966aee36698bf23d7e778,000c076c390a4c357313fca29e390ece,Download,2025-02-11 12:43:47.597338 UTC,android,Samsung
aeca96b309f9332bc6a873b82e637569,001ab2fa029c064a45e41f8b2644a292,PageView,2025-03-06 20:43:47.597338 UTC,ios,iPhone
d5704ec208e2bf7a87fc4938ddb1d3e8,001ab2fa029c064a45e41f8b2644a292,Download,2025-03-08 20:43:47.597338 UTC,ios,iPhone
cc4450db8e8a4a2e6d735851cd6d60b5,003dd617c12d444ff9c80f717c3fa982,PageView,2025-03-01 20:43:47.597338 UTC,android,Pixel
6d245d8106d5aa6e1e077cf3ce6b7614,003dd617c12d444ff9c80f717c3fa982,Download,2025-03-04 06:43:47.597338 UTC,android,Pixel
e360d19244c1b51233681a2476b22141,003dd617c12d444ff9c80f717c3fa982,Install,2025-03-04 20:43:47.597338 UTC,android,Pixel
47e71f24fb343a4124e51e5e3932ab5c,00411460f7c92d2124a67ea0f4cb5f85,PageView,2025-03-03 20:43:47.597338 UTC,ios,iPhone
e8ae8db465c2c975a3eda78967a4518c,00430c0c1fae276c9713ab5f21167882,PageView,2025-02-11 20:43:47.597338 UTC,ios,iPhone
9c8afbac4bf045fad7fe82e1c9184767,0044deeec43ded19b952125079eb1781,PageView,2025-03-03 20:43:47.597338 UTC,android,Samsung
f9ad0db1bcd83795d1281607a2dbe872,0044deeec43ded19b952125079eb1781,Download,2025-03-04 17:43:47.597338 UTC,android,Samsung
c32dd26fc80f7b2ffaa5a0266a6e6a47,0044deeec43ded19b952125079eb1781,Install,2025-03-06 12:43:47.597338 UTC,android,Samsung
f9904cb5b2f1aa46b8e56ebd2234f878,0044deeec43ded19b952125079eb1781,SignUp,2025-03-07 05:43:47.597338 UTC,android,Samsung
6028b01ef19ecb51a783cc33435c5664,0044deeec43ded19b952125079eb1781,Subscription,2025-03-08 13:43:47.597338 UTC,android,Samsung
e024bdb19fa192c2c4b8d9d5fe933d3d,00482b9bed15a272730fcb590ffebddd,PageView,2025-03-06 20:43:47.597338 UTC,ios,iPhone
d3141807334d606527994e01c4aaea93,0060ef47b12160b9198302ebdb144dcf,PageView,2025-02-24 20:43:47.597338 UTC,ios,iPhone
da07982697a1cd7cc35bb61543d68b21,0060ef47b12160b9198302ebdb144dcf,Download,2025-02-26 12:43:47.597338 UTC,ios,iPhone
3bf9b7212293b61d0a3dacf54e3be0b9,0060ef47b12160b9198302ebdb144dcf,Install,2025-02-27 23:43:47.597338 UTC,ios,iPhone
d8e0519832214498bb45b96f86ffc123,0060ef47b12160b9198302ebdb144dcf,SignUp,2025-02-28 07:43:47.597338 UTC,ios,iPhone
bfef9d87d19660835bdb5efe73331024,006c64491cb8acf2092ce0e0341797fe,PageView,2025-03-04 20:43:47.597338 UTC,android,Samsung
9119f2009ca40ba7b1751267a2de69d2,006c64491cb8acf2092ce0e0341797fe,Download,2025-03-06 04:43:47.597338 UTC,android,Samsung
caaf998bff1bcf449f79b1a0d051a911,006c64491cb8acf2092ce0e0341797fe,Install,2025-03-08 03:43:47.597338 UTC,android,Samsung
bc71170adf682fe0c27f2fb079e88720,006c64491cb8acf2092ce0e0341797fe,SignUp,2025-03-08 23:43:47.597338 UTC,android,Samsung
b27b033dc157f92119b3eaa9f23a38c8,006f52e9102a8d3be2fe5614f42ba989,PageView,2025-02-06 20:43:47.597338 UTC,android,Pixel
71de8829a5c3d437d4ac271bac8990b5,006f52e9102a8d3be2fe5614f42ba989,Download,2025-02-09 10:43:47.597338 UTC,android,Pixel
0c13b887041b41cc8654b80d052179f2,006f52e9102a8d3be2fe5614f42ba989,Install,2025-02-10 15:43:47.597338 UTC,android,Pixel
0fb88a5446a3e201704f9914b1fa0e37,006f52e9102a8d3be2fe5614f42ba989,SignUp,2025-02-11 08:43:47.597338 UTC,android,Pixel
f9274a090607e49ddc72c11111de960e,0070d23b06b1486a538c0eaa45dd167a,PageView,2025-02-17 20:43:47.597338 UTC,android,Pixel
76efd5e23ef354f8f7c2f211c2441aa0,0070d23b06b1486a538c0eaa45dd167a,Download,2025-02-20 09:43:47.597338 UTC,android,Pixel
7228f48adcb7afdb02a957fcc03a83ed,0070d23b06b1486a538c0eaa45dd167a,Install,2025-02-22 04:43:47.597338 UTC,android,Pixel
1f44370c6cf31b01a6fd493ce35b9b88,0070d23b06b1486a538c0eaa45dd167a,SignUp,2025-02-22 10:43:47.597338 UTC,android,Pixel
